Peak,chr,start,end,FDR,Genes,Genes_n,Module
chr7:29020414-29020914,chr7,29020414,29020914,2.95872E-15,CPVL,1,indianred3
chr8:121681019-121681519,chr8,121681019,121681519,3.07448E-15,MTBP,1,indianred3
chrX:132546287-132546787,chrX,132546287,132546787,3.0945E-15,GPC4,1,indianred3
chr17:75419715-75420215,chr17,75419715,75420215,3.16074E-15,SEPTIN9,1,indianred3
chr11:46360445-46360945,chr11,46360445,46360945,3.26356E-15,"CREB3L1, ZNF408",2,indianred3
chr7:155265469-155265969,chr7,155265469,155265969,3.29132E-15,"EN2, CNPY1",2,indianred3
chr17:75390596-75391096,chr17,75390596,75391096,3.4551E-15,SEPTIN9,1,indianred3
chr12:43085711-43086211,chr12,43085711,43086211,3.5116E-15,LINC02450,1,indianred3
chr13:110789150-110789650,chr13,110789150,110789650,3.61766E-15,"IRS2, RAB20",2,indianred3
chr17:42987661-42988161,chr17,42987661,42988161,3.65837E-15,"PLCD3, MAP3K14",2,indianred3
chr8:134395487-134395987,chr8,134395487,134395987,3.67445E-15,CCN4,1,indianred3
chr6:129452392-129452892,chr6,129452392,129452892,3.89301E-15,LAMA2,1,indianred3
chr11:33920815-33921315,chr11,33920815,33921315,4.13421E-15,NAT10,1,indianred3
chr17:43158610-43159110,chr17,43158610,43159110,4.45541E-15,GFAP,1,indianred3
chr20:39877128-39877628,chr20,39877128,39877628,4.48248E-15,"TOP1, ZHX3, EMILIN3",3,indianred3
chr18:47172266-47172766,chr18,47172266,47172766,4.58378E-15,LIPG,1,indianred3
chr1:236073600-236074100,chr1,236073600,236074100,4.59772E-15,LYST,1,indianred3
chr7:30951942-30952442,chr7,30951942,30952442,4.66728E-15,"AQP1, ADCYAP1R1",2,indianred3
chr17:38380985-38381485,chr17,38380985,38381485,4.98671E-15,"PSMD3, SMARCE1",2,indianred3
chr1:61428743-61429243,chr1,61428743,61429243,4.98845E-15,NFIA-AS2,1,indianred3
chr2:121954856-121955356,chr2,121954856,121955356,5.0906E-15,TFCP2L1,1,indianred3
chr2:114063314-114063814,chr2,114063314,114063814,5.10212E-15,WASH2P,1,indianred3
chr7:150482834-150483334,chr7,150482834,150483334,5.26469E-15,"TMUB1, ABCF2",2,indianred3
chr7:140267133-140267633,chr7,140267133,140267633,5.37341E-15,DENND2A,1,indianred3
chr7:30855934-30856434,chr7,30855934,30856434,5.40152E-15,ADCYAP1R1,1,indianred3
chr17:27359422-27359922,chr17,27359422,27359922,5.4085E-15,PHF12,1,indianred3
chr7:90040827-90041327,chr7,90040827,90041327,5.42064E-15,"CLDN12, LOC102723899",2,indianred3
chr7:100464602-100465102,chr7,100464602,100465102,5.56572E-15,"MIR6875, TRIP6",2,indianred3
chr17:42907088-42907588,chr17,42907088,42907588,5.59225E-15,"FZD2, CCDC43, GJC1",3,indianred3
chr1:52108260-52108760,chr1,52108260,52108760,5.71504E-15,TXNDC12,1,indianred3
chr7:151191338-151191838,chr7,151191338,151191838,6.03614E-15,TMUB1,1,indianred3
chr7:135458948-135459448,chr7,135458948,135459448,6.12684E-15,FAM180A,1,indianred3
chr18:47145394-47145894,chr18,47145394,47145894,6.29962E-15,LIPG,1,indianred3
chr4:57944850-57945350,chr4,57944850,57945350,6.36028E-15,REST,1,indianred3
chr7:504693-505193,chr7,504693,505193,6.59695E-15,PDGFA,1,indianred3
chrX:2621938-2622438,chrX,2621938,2622438,6.93681E-15,"DHRSX, CD99P1, CD99",3,indianred3
chr1:68297479-68297979,chr1,68297479,68297979,7.04634E-15,GNG12-AS1,1,indianred3
chr15:67439264-67439764,chr15,67439264,67439764,7.05816E-15,SMAD3,1,indianred3
chr3:122696901-122697401,chr3,122696901,122697401,7.22322E-15,SEMA5B,1,indianred3
chr18:24488806-24489306,chr18,24488806,24489306,7.34631E-15,CHST9,1,indianred3
chr1:151918155-151918655,chr1,151918155,151918655,7.95279E-15,S100A10,1,indianred3
chr2:216300601-216301101,chr2,216300601,216301101,8.16163E-15,FN1,1,indianred3
chr20:55787472-55787972,chr20,55787472,55787972,8.72185E-15,BMP7,1,indianred3
chr7:2563458-2563958,chr7,2563458,2563958,8.73252E-15,"SNX8, LFNG",2,indianred3
chr10:17044116-17044616,chr10,17044116,17044616,8.96398E-15,CUBN,1,indianred3
chr17:70335143-70335643,chr17,70335143,70335643,9.28275E-15,SOX9,1,indianred3
chr1:110334662-110335162,chr1,110334662,110335162,9.41142E-15,CSF1,1,indianred3
chr2:119327443-119327943,chr2,119327443,119327943,9.77072E-15,EN1,1,indianred3
chr1:180585535-180586035,chr1,180585535,180586035,9.90401E-15,IER5,1,indianred3
chr20:3667336-3667836,chr20,3667336,3667836,9.93039E-15,"ITPA, ADAM33",2,indianred3
chr17:19631252-19631752,chr17,19631252,19631752,1.01975E-14,MFAP4,1,indianred3
chr15:86293566-86294066,chr15,86293566,86294066,1.0328E-14,"AKAP13, KLHL25",2,indianred3
chr2:197070560-197071060,chr2,197070560,197071060,1.03865E-14,STK17B,1,indianred3
chr20:35201601-35202101,chr20,35201601,35202101,1.0476E-14,"DLGAP4-AS1, TGIF2",2,indianred3
chr18:47088028-47088528,chr18,47088028,47088528,1.06782E-14,LIPG,1,indianred3
chr7:25901958-25902458,chr7,25901958,25902458,1.09837E-14,"LOC646588, NFE2L3",2,indianred3
chr1:95391117-95391617,chr1,95391117,95391617,1.11854E-14,CNN3,1,indianred3
chr9:75766445-75766945,chr9,75766445,75766945,1.14633E-14,ANXA1,1,indianred3
chr6:27830326-27830826,chr6,27830326,27830826,1.17485E-14,ZKSCAN4,1,indianred3
chr2:8382779-8383279,chr2,8382779,8383279,1.17639E-14,ID2,1,indianred3
chr1:150504599-150505099,chr1,150504599,150505099,1.18648E-14,APH1A,1,indianred3
chr15:85948014-85948514,chr15,85948014,85948514,1.24708E-14,AKAP13,1,indianred3
chr7:151391957-151392457,chr7,151391957,151392457,1.27111E-14,"NUB1, RHEB",2,indianred3
chr7:29028396-29028896,chr7,29028396,29028896,1.27658E-14,CPVL,1,indianred3
chr7:26701381-26701881,chr7,26701381,26701881,1.27909E-14,LOC105375304,1,indianred3
chr7:128898478-128898978,chr7,128898478,128898978,1.44178E-14,SMO,1,indianred3
chr19:10987207-10987707,chr19,10987207,10987707,1.45429E-14,"YIPF2, TYK2",2,indianred3
chr20:45337997-45338497,chr20,45337997,45338497,1.47833E-14,SLC2A10,1,indianred3
chr5:72606975-72607475,chr5,72606975,72607475,1.48293E-14,"FOXD1, UTP15",2,indianred3
chr3:149375664-149376164,chr3,149375664,149376164,1.55341E-14,"WWTR1, WWTR1-AS1",2,indianred3
chr2:162932023-162932523,chr2,162932023,162932523,1.64763E-14,"DPP4, IFIH1",2,indianred3
chr19:43930202-43930702,chr19,43930202,43930702,1.6492E-14,PHLDB3,1,indianred3
chr4:72052122-72052622,chr4,72052122,72052622,1.68106E-14,SLC4A4,1,indianred3
chr3:186981820-186982320,chr3,186981820,186982320,1.68446E-14,MASP1,1,indianred3
chr12:54379760-54380260,chr12,54379760,54380260,1.70442E-14,HOXC-AS3,1,indianred3
chr11:101980807-101981307,chr11,101980807,101981307,1.7469E-14,YAP1,1,indianred3
chr15:41201774-41202274,chr15,41201774,41202274,1.78859E-14,INO80,1,indianred3
chr7:4744809-4745309,chr7,4744809,4745309,1.84187E-14,RNF216P1,1,indianred3
chr2:121508042-121508542,chr2,121508042,121508542,1.89795E-14,GLI2,1,indianred3
chr5:128205897-128206397,chr5,128205897,128206397,1.8998E-14,FBN2,1,indianred3
chr6:11226201-11226701,chr6,11226201,11226701,1.93913E-14,ELOVL2,1,indianred3
chr16:4159251-4159751,chr16,4159251,4159751,1.95077E-14,VASN,1,indianred3
chr18:9436902-9437402,chr18,9436902,9437402,1.95353E-14,TXNDC2,1,indianred3
chr13:78628236-78628736,chr13,78628236,78628736,2.0734E-14,OBI1-AS1,1,indianred3
chr2:164665981-164666481,chr2,164665981,164666481,2.12622E-14,FIGN,1,indianred3
chr1:13909996-13910496,chr1,13909996,13910496,2.16796E-14,PDPN,1,indianred3
chr17:19385804-19386304,chr17,19385804,19386304,2.23177E-14,"MFAP4, SLC47A1",2,indianred3
chr4:77545280-77545780,chr4,77545280,77545780,2.34247E-14,SHROOM3,1,indianred3
chr7:92465710-92466210,chr7,92465710,92466210,2.45799E-14,CDK6,1,indianred3
chr7:2500800-2501300,chr7,2500800,2501300,2.50936E-14,"MRM2, LFNG, BRAT1",3,indianred3
chr5:92757123-92757623,chr5,92757123,92757623,2.54491E-14,NR2F1-AS1,1,indianred3
chr8:92101973-92102473,chr8,92101973,92102473,2.56585E-14,SLC26A7,1,indianred3
chr12:106979709-106980209,chr12,106979709,106980209,2.63785E-14,RFX4,1,indianred3
chr7:27174013-27174513,chr7,27174013,27174513,2.6952E-14,"HOXA1, HOTAIRM1, HOXA2, HOXA3, HOXA4, HOXA-AS3, HOXA5, HOXA10, HOXA13",9,indianred3
chr17:17371093-17371593,chr17,17371093,17371593,2.81177E-14,MED9,1,indianred3
chr19:49864569-49865069,chr19,49864569,49865069,3.05179E-14,TEAD2,1,indianred3
chr7:23513763-23514263,chr7,23513763,23514263,3.12827E-14,"IGF2BP3, TRA2A",2,indianred3
chr20:30396207-30396707,chr20,30396207,30396707,3.24921E-14,"HM13, PLAGL2, POFUT1",3,indianred3
chr3:147105031-147105531,chr3,147105031,147105531,3.28572E-14,ZIC1,1,indianred3
chr4:77511315-77511815,chr4,77511315,77511815,3.35246E-14,SHROOM3,1,indianred3
chr2:239505637-239506137,chr2,239505637,239506137,3.38761E-14,TWIST2,1,indianred3
chr8:28371203-28371703,chr8,28371203,28371703,3.42218E-14,"ELP3, FZD3",2,indianred3
chr22:38071240-38071740,chr22,38071240,38071740,3.63037E-14,LGALS1,1,indianred3
chr6:112072256-112072756,chr6,112072256,112072756,3.65334E-14,"REV3L, TRAF3IP2",2,indianred3
chr5:177855958-177856458,chr5,177855958,177856458,3.74206E-14,COL23A1,1,indianred3
chr2:43157066-43157566,chr2,43157066,43157566,3.82672E-14,ZFP36L2,1,indianred3
chr17:27373524-27374024,chr17,27373524,27374024,3.91155E-14,"RPL23A, PHF12, SEZ6, PIPOX",4,indianred3
chr7:105970422-105970922,chr7,105970422,105970922,3.9279E-14,NAMPT,1,indianred3
chr1:109826714-109827214,chr1,109826714,109827214,4.13645E-14,PSRC1,1,indianred3
chr3:119895953-119896453,chr3,119895953,119896453,4.17613E-14,GPR156,1,indianred3
chr19:34071428-34071928,chr19,34071428,34071928,4.23912E-14,PEPD,1,indianred3
chr7:104502143-104502643,chr7,104502143,104502643,4.28848E-14,LHFPL3-AS1,1,indianred3
chr18:3451311-3451811,chr18,3451311,3451811,4.37554E-14,TGIF1,1,indianred3
chr7:105320747-105321247,chr7,105320747,105321247,4.41981E-14,ATXN7L1,1,indianred3
chr17:10693807-10694307,chr17,10693807,10694307,4.48368E-14,TMEM220-AS1,1,indianred3
chr13:45988835-45989335,chr13,45988835,45989335,4.79631E-14,NUFIP1,1,indianred3
chr7:27175953-27176453,chr7,27175953,27176453,4.94648E-14,"HOXA1, HOXA10",2,indianred3
chr12:54359468-54359968,chr12,54359468,54359968,5.01702E-14,"HOXC13, HOXC13-AS, HOTAIR, HOXC11, HOXC10, HOXC-AS3, HOXC-AS2, HOXC-AS1, HOXC9, HOXC8, HOXC6, HOXC5, FLJ12825, LINC02381",14,indianred3
chr17:46662637-46663137,chr17,46662637,46663137,5.18336E-14,"HOXB-AS1, HOXB2, HOXB3, HOXB4, HOXB-AS3, HOXB5, HOXB7, HOXB8",8,indianred3
chr19:17552479-17552979,chr19,17552479,17552979,5.32651E-14,"MVB12A, TMEM221",2,indianred3
chr5:75997031-75997531,chr5,75997031,75997531,5.33518E-14,F2R,1,indianred3
chr1:175169733-175170233,chr1,175169733,175170233,5.34331E-14,TNN,1,indianred3
chr5:115838272-115838772,chr5,115838272,115838772,5.45044E-14,COMMD10,1,indianred3
chr1:117533239-117533739,chr1,117533239,117533739,5.60564E-14,PTGFRN,1,indianred3
chr7:2561820-2562320,chr7,2561820,2562320,5.62877E-14,LFNG,1,indianred3
chr13:95725804-95726304,chr13,95725804,95726304,5.81841E-14,SOX21-AS1,1,indianred3
chr17:79396902-79397402,chr17,79396902,79397402,5.86059E-14,P4HB,1,indianred3
chr7:129214316-129214816,chr7,129214316,129214816,5.86809E-14,"SMO, ZC3HC1",2,indianred3
chr14:33171692-33172192,chr14,33171692,33172192,5.94603E-14,NPAS3,1,indianred3
chr19:6740479-6740979,chr19,6740479,6740979,6.08547E-14,"CLPP, PSPN, TRIP10",3,indianred3
chr9:107755763-107756263,chr9,107755763,107756263,6.18773E-14,ABCA1,1,indianred3
chr1:95007219-95007719,chr1,95007219,95007719,6.41845E-14,F3,1,indianred3
chr2:190044282-190044782,chr2,190044282,190044782,6.76825E-14,COL5A2,1,indianred3
chr7:92546072-92546572,chr7,92546072,92546572,6.80277E-14,"CDK6, CDK6-AS1",2,indianred3
chr7:5733739-5734239,chr7,5733739,5734239,6.99761E-14,"RNF216, USP42",2,indianred3
chr2:202798416-202798916,chr2,202798416,202798916,7.23567E-14,FZD7,1,indianred3
chr2:202797158-202797658,chr2,202797158,202797658,7.30311E-14,FZD7,1,indianred3
chr14:61990843-61991343,chr14,61990843,61991343,7.36744E-14,HIF1A,1,indianred3
chr11:10373253-10373753,chr11,10373253,10373753,7.61716E-14,SBF2,1,indianred3
chr13:24121119-24121619,chr13,24121119,24121619,7.88199E-14,TNFRSF19,1,indianred3
chr20:45557289-45557789,chr20,45557289,45557789,8.00451E-14,SLC2A10,1,indianred3
chr3:45708518-45709018,chr3,45708518,45709018,8.06128E-14,"TMEM158, LIMD1",2,indianred3
chrX:128776611-128777111,chrX,128776611,128777111,8.1754E-14,UTP14A,1,indianred3
chr19:6723141-6723641,chr19,6723141,6723641,8.5252E-14,GPR108,1,indianred3
chr14:95438029-95438529,chr14,95438029,95438529,8.89706E-14,GSC,1,indianred3
chr18:3449907-3450407,chr18,3449907,3450407,8.92047E-14,TGIF1,1,indianred3
chr3:112994926-112995426,chr3,112994926,112995426,8.9851E-14,BOC,1,indianred3
chr14:22722911-22723411,chr14,22722911,22723411,9.05849E-14,ABHD4,1,indianred3
chr7:27183231-27183731,chr7,27183231,27183731,9.48715E-14,HOXA5,1,indianred3
chr1:119589524-119590024,chr1,119589524,119590024,9.83847E-14,WARS2-IT1,1,indianred3
chr22:27536001-27536501,chr22,27536001,27536501,9.95778E-14,LINC01638,1,indianred3
chr18:47045344-47045844,chr18,47045344,47045844,1.03404E-13,LIPG,1,indianred3
chr6:27839916-27840416,chr6,27839916,27840416,1.05432E-13,H3C11,1,indianred3
chr7:122995818-122996318,chr7,122995818,122996318,1.11651E-13,WASL,1,indianred3
chr2:43191552-43192052,chr2,43191552,43192052,1.12031E-13,ZFP36L2,1,indianred3
chr14:94393395-94393895,chr14,94393395,94393895,1.12207E-13,"FAM181A, FAM181A-AS1",2,indianred3
chr11:34653861-34654361,chr11,34653861,34654361,1.17207E-13,EHF,1,indianred3
chr15:88745416-88745916,chr15,88745416,88745916,1.17439E-13,NTRK3,1,indianred3
chr21:36074795-36075295,chr21,36074795,36075295,1.17461E-13,LINC01426,1,indianred3
chr20:52482481-52482981,chr20,52482481,52482981,1.21339E-13,ZNF217,1,indianred3
chrX:2625282-2625782,chrX,2625282,2625782,1.22629E-13,"DHRSX, CD99P1, CD99",3,indianred3
chr20:53094033-53094533,chr20,53094033,53094533,1.22679E-13,DOK5,1,indianred3
chr11:62648078-62648578,chr11,62648078,62648578,1.26844E-13,SLC3A2,1,indianred3
chr8:134368339-134368839,chr8,134368339,134368839,1.27322E-13,CCN4,1,indianred3
chr16:11193988-11194488,chr16,11193988,11194488,1.28728E-13,"NUBP1, SOCS1",2,indianred3
chr2:8628400-8628900,chr2,8628400,8628900,1.28915E-13,ID2,1,indianred3
chr13:78604405-78604905,chr13,78604405,78604905,1.36327E-13,EDNRB,1,indianred3
chr6:111946779-111947279,chr6,111946779,111947279,1.40834E-13,REV3L,1,indianred3
chr22:30818752-30819252,chr22,30818752,30819252,1.45462E-13,"LIF, MTFP1",2,indianred3
chr13:31264647-31265147,chr13,31264647,31265147,1.45623E-13,HMGB1,1,indianred3
chr17:43176394-43176894,chr17,43176394,43176894,1.51002E-13,"GFAP, PLCD3",2,indianred3
chr20:35203732-35204232,chr20,35203732,35204232,1.57039E-13,"TGIF2, DSN1",2,indianred3
chr1:160094556-160095056,chr1,160094556,160095056,1.61818E-13,NCSTN,1,indianred3
chr13:111118526-111119026,chr13,111118526,111119026,1.65498E-13,ANKRD10,1,indianred3
chr7:23457673-23458173,chr7,23457673,23458173,1.73409E-13,"MALSU1, IGF2BP3",2,indianred3
chr1:175098331-175098831,chr1,175098331,175098831,1.74718E-13,TNN,1,indianred3
chr11:67141508-67142008,chr11,67141508,67142008,1.80317E-13,CLCF1,1,indianred3
chr7:140331309-140331809,chr7,140331309,140331809,1.81298E-13,DENND2A,1,indianred3
chr3:193699910-193700410,chr3,193699910,193700410,1.81955E-13,HES1,1,indianred3
chr12:94198425-94198925,chr12,94198425,94198925,1.84506E-13,"SOCS2, SOCS2-AS1, LOC101928731",3,indianred3
chr2:161014294-161014794,chr2,161014294,161014794,1.97137E-13,ITGB6,1,indianred3
chr7:43652429-43652929,chr7,43652429,43652929,1.98863E-13,AEBP1,1,indianred3
chr20:52238188-52238688,chr20,52238188,52238688,2.04647E-13,ZNF217,1,indianred3
chr2:63274562-63275062,chr2,63274562,63275062,2.10232E-13,LOC100132215,1,indianred3
chr19:33532167-33532667,chr19,33532167,33532667,2.11735E-13,"NUDT19, RHPN2, GPATCH1",3,indianred3
chr17:69663708-69664208,chr17,69663708,69664208,2.12045E-13,SOX9,1,indianred3
chr2:40917577-40918077,chr2,40917577,40918077,2.14438E-13,SLC8A1,1,indianred3
chr13:95780284-95780784,chr13,95780284,95780784,2.18125E-13,SOX21-AS1,1,indianred3
chr5:150385486-150385986,chr5,150385486,150385986,2.20888E-13,GPX3,1,indianred3
chr4:123704459-123704959,chr4,123704459,123704959,2.22406E-13,IL21-AS1,1,indianred3
chr19:15311566-15312066,chr19,15311566,15312066,2.25196E-13,NOTCH3,1,indianred3
chr2:85423010-85423510,chr2,85423010,85423510,2.54061E-13,TCF7L1,1,indianred3
chr19:18491084-18491584,chr19,18491084,18491584,2.54203E-13,GDF15,1,indianred3
chr7:18869300-18869800,chr7,18869300,18869800,2.54854E-13,TWIST1,1,indianred3
chr2:216697594-216698094,chr2,216697594,216698094,2.67211E-13,LINC00607,1,indianred3
chr14:23318619-23319119,chr14,23318619,23319119,2.75099E-13,OXA1L,1,indianred3
chr3:112929530-112930030,chr3,112929530,112930030,2.81526E-13,BOC,1,indianred3
chr1:44889274-44889774,chr1,44889274,44889774,2.8453E-13,RNF220,1,indianred3
chr3:152497423-152497923,chr3,152497423,152497923,2.86027E-13,P2RY1,1,indianred3
chr17:69820875-69821375,chr17,69820875,69821375,2.89269E-13,SOX9,1,indianred3
chr4:107194762-107195262,chr4,107194762,107195262,2.90589E-13,LOC101929577,1,indianred3
chr22:36746866-36747366,chr22,36746866,36747366,2.9316E-13,"APOL4, APOL2, APOL1",3,indianred3
chr14:23305489-23305989,chr14,23305489,23305989,2.94374E-13,MMP14,1,indianred3
chr3:167371491-167371991,chr3,167371491,167371991,2.97052E-13,WDR49,1,indianred3
chr7:30472627-30473127,chr7,30472627,30473127,2.98966E-13,AQP1,1,indianred3
chr12:54519795-54520295,chr12,54519795,54520295,2.99234E-13,"HOXC13, HOXC13-AS, HOTAIR, HOXC11, HOXC10, HOXC-AS3, HOXC-AS2, HOXC-AS1, HOXC9, HOXC8, HOXC4, HOXC6, LINC02381",13,indianred3
chr7:91686667-91687167,chr7,91686667,91687167,2.99283E-13,MTERF1,1,indianred3
chr5:177972172-177972672,chr5,177972172,177972672,3.13192E-13,COL23A1,1,indianred3
chr2:180797450-180797950,chr2,180797450,180797950,3.19336E-13,CWC22,1,indianred3
chr7:27135467-27135967,chr7,27135467,27135967,3.28038E-13,"HOTAIRM1, HOXA1",2,indianred3
chr22:36551726-36552226,chr22,36551726,36552226,3.3374E-13,"APOL3, APOL4, APOL2, APOL1",4,indianred3
chr7:155335814-155336314,chr7,155335814,155336314,3.46369E-13,EN2,1,indianred3
chr6:99081723-99082223,chr6,99081723,99082223,3.52397E-13,POU3F2,1,indianred3
chr6:117582906-117583406,chr6,117582906,117583406,3.56244E-13,VGLL2,1,indianred3
chr15:52273674-52274174,chr15,52273674,52274174,3.73729E-13,LEO1,1,indianred3
chr3:45103456-45103956,chr3,45103456,45103956,3.74671E-13,TMEM158,1,indianred3
chr2:121677602-121678102,chr2,121677602,121678102,3.75625E-13,GLI2,1,indianred3
chr20:47486732-47487232,chr20,47486732,47487232,3.80702E-13,ZNFX1,1,indianred3
chr14:23320130-23320630,chr14,23320130,23320630,3.87538E-13,"LOC105370401, OXA1L, AJUBA",3,indianred3
chr17:19234432-19234932,chr17,19234432,19234932,3.98897E-13,MFAP4,1,indianred3
chr14:30274739-30275239,chr14,30274739,30275239,4.04021E-13,PRKD1,1,indianred3
chr4:146600590-146601090,chr4,146600590,146601090,4.1758E-13,C4orf51,1,indianred3
chr3:186980982-186981482,chr3,186980982,186981482,4.19828E-13,MASP1,1,indianred3
chr3:136505575-136506075,chr3,136505575,136506075,4.39879E-13,NCK1,1,indianred3
chr22:36541885-36542385,chr22,36541885,36542385,4.52806E-13,"APOL6, APOL3, APOL4, APOL2, APOL1",5,indianred3
chr7:154719849-154720349,chr7,154719849,154720349,4.54232E-13,PAXIP1-AS2,1,indianred3
chr7:707727-708227,chr7,707727,708227,4.54501E-13,PDGFA,1,indianred3
chr3:112930097-112930597,chr3,112930097,112930597,4.58581E-13,BOC,1,indianred3
chr14:30663846-30664346,chr14,30663846,30664346,4.59107E-13,PRKD1,1,indianred3
chr7:21657470-21657970,chr7,21657470,21657970,4.65055E-13,"DNAH11, CDCA7L",2,indianred3
chr3:171887073-171887573,chr3,171887073,171887573,4.75765E-13,FNDC3B,1,indianred3
chr2:8818779-8819279,chr2,8818779,8819279,4.76897E-13,ID2,1,indianred3
chr4:114936499-114936999,chr4,114936499,114936999,4.78592E-13,"CAMK2D, ARSJ",2,indianred3
chr6:99279392-99279892,chr6,99279392,99279892,4.93948E-13,PNKY,1,indianred3
chr14:30665041-30665541,chr14,30665041,30665541,5.04342E-13,PRKD1,1,indianred3
chr17:46653268-46653768,chr17,46653268,46653768,5.06441E-13,"HOXB-AS1, HOXB3, HOXB4, HOXB-AS3, HOXB5, HOXB7, HOXB8",7,indianred3
chr18:3453741-3454241,chr18,3453741,3454241,5.07761E-13,TGIF1,1,indianred3
chr2:172949857-172950357,chr2,172949857,172950357,5.09061E-13,DLX1,1,indianred3
chr17:4586989-4587489,chr17,4586989,4587489,5.2223E-13,"PSMB6, ZNF232",2,indianred3
chr20:48391726-48392226,chr20,48391726,48392226,5.40964E-13,RNF114,1,indianred3
chr17:46624410-46624910,chr17,46624410,46624910,5.43009E-13,"HOXB-AS1, HOXB2, HOXB3, HOXB4, HOXB-AS3, HOXB5, HOXB7, HOXB8",8,indianred3
chr7:23374133-23374633,chr7,23374133,23374633,5.47206E-13,"SNHG26, IGF2BP3",2,indianred3
